tranID,userID,name,status,date,subtotal
1,3,1-day biking+ (inc. electric bikes),2,2014-12-13 07:28:04,435.08
2,123,10-trips biking,,2017-03-30 08:01:22,733.65
3,115,1-month car rental,,2013-04-29 06:54:40,552.43
4,26,All year car rental,3,2016-10-11 08:44:00,54.07
5,70,1-day car rental,3,2013-10-24 07:56:29,572.13
6,125,1-month car rental,1,2016-06-09 08:38:56,872.87
7,150,3-days car rental,2,2018-11-21 07:46:29,637.22
8,133,7-days car rental,2,2018-12-23 08:37:31,212.13
9,44,1-month biking,1,2018-02-07 07:59:24,35.09
10,18,1-month coverage - luxury cars,2,2018-07-16 08:37:41,916.85
11,88,1-month biking - Reduced fare,2,2013-03-14 07:04:14,998.44
12,68,7-days combo (inc. all bikes and cars),3,2013-06-10 07:36:34,392.05
13,4,1-day coverage - regular cars,1,2015-09-01 08:55:48,506.91
14,79,7-days coverage - regular cars,1,2016-11-09 08:34:01,193.61
15,81,1-month biking+ (electric bikes) - Reduced fare,3,2014-07-20 08:18:10,329.75
16,52,1-month combo (inc. all bikes and cars),2,2018-12-18 07:08:58,371.09
17,79,7-days biking,3,2016-09-24 06:02:57,164.86
18,64,1-day coverage - luxury cars,1,2015-12-20 08:07:18,70.24
19,20,All year car rental,3,2016-04-21 06:55:25,781.81
20,137,3-days combo (inc. all bikes and cars),3,2018-10-28 06:48:31,1010.40
21,15,1-year coverage - regular cars,1,2015-11-11 07:11:57,284.12
22,115,1-month biking - Reduced fare,2,2014-10-24 06:16:39,128.51
23,29,1-month combo (inc. all bikes and cars),3,2013-05-09 06:44:10,956.23
24,46,1-month biking - Reduced fare,1,2017-12-23 08:30:16,888.24
25,75,1-month car rental - Reduced fare,2,2014-12-07 07:36:49,152.84
26,24,1-month combo (inc. all bikes and cars) - Reduced fare,2,2016-04-03 08:06:21,593.50
27,139,10-trips biking+ (electric bikes),1,2015-03-21 08:19:21,590.01
28,71,1-month biking+ (electric bikes) - Reduced fare,1,2013-08-03 06:23:08,1012.38
29,121,2-trips biking+ (electric bikes),1,2015-08-22 06:44:20,490.53
30,130,All year biking+ (electric bikes) - Reduced fare,1,2013-10-04 08:28:25,845.17
31,120,1-month biking+ (electric bikes) - Reduced fare,1,2014-11-09 07:39:51,868.71
32,15,10-trips biking,1,2015-10-17 08:11:04,81.98
33,92,1-month coverage - luxury cars,2,2017-01-12 06:37:25,874.68
34,72,2-trips biking+ (electric bikes),2,2015-01-06 07:56:28,257.22
35,81,3-days car rental,1,2015-03-20 07:52:23,385.71
36,11,1-day coverage - regular cars,2,2017-10-02 08:39:07,575.81
37,64,1-year coverage - regular cars,3,2013-04-04 07:09:26,775.77
38,29,3-days combo (inc. all bikes and cars),1,2014-05-09 08:49:26,54.49
39,99,All year biking - Reduced fare,3,2013-10-09 08:42:02,125.23
40,10,All year biking - Reduced fare,3,2019-01-05 07:25:55,279.75
41,133,1-day biking+ (inc. electric bikes),2,2018-01-22 08:12:18,676.35
42,18,1-trip biking,3,2018-07-30 06:09:08,357.13
43,143,All year car rental,2,2014-03-17 08:14:38,488.54
44,44,1-trip biking+ (electric bikes),2,2016-02-03 08:28:32,735.27
45,6,3-days combo (inc. all bikes and cars),1,2018-07-03 08:25:38,407.30
46,21,All year biking,1,2017-02-21 07:00:30,89.00
47,18,1-trip biking,2,2016-04-22 07:00:58,305.42
48,145,3-days coverage - luxury cars,2,2013-07-14 07:51:25,489.69
49,129,1-month combo (inc. all bikes and cars),3,2019-01-31 06:19:50,272.93
50,121,All year biking,2,2016-04-19 07:28:11,967.52
51,130,10-trips biking+ (electric bikes),2,2014-05-02 08:17:58,977.16
52,45,1-year coverage - luxury cars,3,2014-04-01 07:35:29,959.78
53,138,1-month biking - Reduced fare,3,2015-10-23 06:50:20,756.12
54,114,All year combo (inc. all bikes and cars),1,2019-02-03 07:08:32,363.61
55,111,1-month coverage - regular cars,2,2017-10-24 06:26:51,382.85
56,16,10-trips biking+ (electric bikes),2,2015-05-03 06:48:51,182.19
57,58,1-month biking,1,2016-08-15 07:25:56,595.72
58,82,1-month car rental,2,2014-01-15 07:00:36,422.82
59,32,7-days combo (inc. all bikes and cars),1,2014-04-14 06:33:30,946.91
60,129,All year combo (inc. all bikes and cars) - Reduced fare,1,2013-03-14 06:25:26,717.33
61,60,All year car rental - Reduced fare,2,2016-07-18 07:38:40,810.92
62,94,7-days biking+,3,2018-12-03 06:05:08,472.66
63,130,3-days biking,3,2016-07-20 08:40:49,314.26
64,17,1-year coverage - regular cars,1,2017-03-08 07:02:44,497.75
65,20,1-day car rental,2,2016-11-28 08:27:36,810.24
66,63,3-days coverage - luxury cars,3,2018-02-06 07:05:23,406.05
67,118,3-days combo (inc. all bikes and cars),1,2015-04-30 07:28:32,408.08
68,106,3-days biking,2,2018-09-02 07:55:18,467.72
69,44,7-days car rental,2,2018-02-01 07:54:30,68.19
70,82,1-month car rental,3,2016-04-25 06:08:24,427.13
71,111,1-day biking,2,2018-09-03 08:00:15,255.73
72,107,1-month coverage - regular cars,1,2013-08-31 06:04:55,447.64
73,139,3-days car rental,2,2018-03-24 08:53:35,977.93
74,106,7-days car rental,3,2014-07-08 08:10:48,273.28
75,63,7-days coverage - luxury cars,1,2014-01-22 08:02:55,860.08
76,90,All year biking+,1,2016-09-27 07:54:12,775.07
77,16,1-month combo (inc. all bikes and cars),1,2016-02-27 08:03:11,396.09
78,11,3-days biking+ (inc. electric bikes),2,2013-12-06 08:37:52,785.96
79,70,1-month biking+ (electric bikes) - Reduced fare,2,2013-07-12 06:08:45,566.07
80,146,7-days biking+,2,2017-11-10 08:54:30,923.62
81,78,3-days biking,3,2018-02-18 07:11:49,84.03
82,59,1-month biking+ (electric bikes),1,2018-07-03 08:29:38,492.85
83,140,1-month coverage - luxury cars,1,2014-10-29 08:14:51,826.63
84,104,2-trips biking+ (electric bikes),3,2014-05-12 06:24:55,481.45
85,101,All year biking,1,2013-08-22 08:36:15,719.60
86,10,1-month biking - Reduced fare,3,2013-04-16 07:52:50,685.43
